merchant_name,review_text,transaction_amount,merchant_location,merchant_category,fraudulent
www.amazon.com,Had a few deliveries from Amazon. They deliver when they say they will. Products usually match descr...,,Unknown,General Retail,False
www.amazon.com,Used them for nearly 20 years since my college days when they were just a book store.  Never an issu...,,Unknown,General Retail,False
www.amazon.com,Amazon are absolutely terrible and full of useless couriers. Three parcels this week have been left ...,,Unknown,General Retail,False
www.amazon.com,"Impossible to get anbissue sorted with items delivered, long process of talking to chat bots then ve...",,Unknown,General Retail,False
www.amazon.com,Gutted my profile appeal system doesn't work no response from HR or Erc wasn't set up for success wa...,,Unknown,General Retail,False
www.amazon.com,"I shop on Amazon regularly. Some items have been great other not quite as advertised, however I have...",,Unknown,Apparel,False
www.amazon.com,I used to buy multiple things at a time to see what I liked better or what fit best if it be clothin...,,Unknown,Apparel,False
www.amazon.com,Up until recently deliveries generally arrived on time and where there has been the odd thing that I...,,London,General Retail,False
www.amazon.com,"I order quite a bit from Amazon. Usually on a weekly, anywhere from necessities to nonsense and spur...",300.0,Unknown,General Retail,False
www.amazon.com,nothing to see here... like amazons after sales services...,,Unknown,General Retail,False
www.amazon.com,"Amazon - wow parcel first of all placed not even any where near my property 
Photo taken by delivery...",,Unknown,General Retail,True
www.amazon.com,Amazon stole my money. I ordered a pair of shoes online and then decided to cancel but it was too la...,,Canada,Apparel,True
www.amazon.com,"Amazon's service is really bad! They only ship the items after a week and a half, they employ people...",,Israel,Electronics,False
www.amazon.com,i went to amazon for weuigth audit iwent totally 10 days .i notice customer were cheating per packag...,,Unknown,General Retail,True
www.amazon.com,"20+ years as an Amazon customer. Thousands spent. Never an issue… until now.

In the last year:
	•	A...",,Unknown,General Retail,False
www.amazon.com,Affordable pricing and fast shipping. Not always good fabric but I manage to find clothing for my fa...,,Unknown,Apparel,False
www.amazon.com,"I was promised a refund by an Amazon agent. When I came back to collect it, I was told the promise w...",,Unknown,General Retail,False
www.amazon.com,"As soon as you write a negative review, uh-oh something went wrong! Drivers cannot follow simple ins...",,Unknown,General Retail,False
www.amazon.com,Affordable and reliable...,,Unknown,General Retail,False
www.amazon.com,Got a delivery today the young man who dropped the parcels off could not get away fast enough. When ...,,Unknown,General Retail,True
www.amazon.com,"Won’t deliver on time, delivery dates keep on changing for multiple products..! I don’t even know ho...",,Unknown,General Retail,False
www.amazon.com,When writing reviews they will not post or accept if it isn’t really favorable.  Items delayed frequ...,,Unknown,General Retail,False
www.amazon.com,"Amazon has made it very difficult for returns. It used to be as simple as getting  a QR code.Now, yo...",,Button,General Retail,False
www.amazon.com,Well after numerous parcel delays and incorrect information I have decided not to order any further ...,,Unknown,General Retail,False
www.amazon.com,I ordered from Amazon Now for the first time and didn’t get the entire order containing 5 different ...,,Unknown,General Retail,False
www.amazon.com,I shop frequently on Amazon and have Amazon Prime for number of years. More recently their drivers a...,,Unknown,Apparel,False
www.amazon.com,Terrible service...there is no Prime service in my area for the last 4 months ...I am told due to wa...,,Unknown,General Retail,False
www.amazon.com,"Amazon.it richiede una verifica digitale online, poiché si avvale di un corriere che, a quanto pare,...",,Unknown,General Retail,False
www.amazon.com,"Amazon provides a reliable shopping experience with wide product variety, competitive prices, and fa...",,Unknown,General Retail,False
www.amazon.com,"The young woman (Klye) who helped me at Amazon on 5100 Betline  rd , had the absolute worst attitude...",,Unknown,General Retail,False
www.amazon.com,"Amazon is a convenient online shopping that one can rely on, the platform is easy to use, and there’...",,Unknown,General Retail,False
